time,rainfall,value
464,23.00,0.00
6122,0.00,0.00
6126,0.00,0.00
6130,0.00,0.00
6134,0.00,0.00
6147,0.00,0.00
6166,1.00,0.00
6184,0.00,0.00
6203,0.00,0.00
6221,0.00,0.00
6241,0.00,0.00
6259,1.00,0.00
6278,0.00,0.00
6297,0.00,0.00
6316,0.00,0.00
6334,0.00,0.00
6352,0.00,0.00
6372,0.00,0.00
6390,0.00,0.00
6409,0.00,0.00
6427,0.00,0.00
6447,0.00,0.00
6465,0.00,0.00
6483,0.00,0.00
6503,0.00,0.00
6521,0.00,0.00
6540,1.00,0.00
6558,0.00,0.00
6578,0.00,0.00
6596,1.00,0.00
6615,0.00,0.00
6634,0.00,0.00
6652,0.00,0.00
6671,0.00,0.00
6689,0.00,0.00
6709,0.00,0.00
6727,0.00,0.00
6746,0.00,0.00
6765,0.00,0.00
6784,0.00,0.00
6802,0.00,0.00
6820,0.00,0.00
6840,0.00,0.00
6858,0.00,0.00
6877,1.00,0.00
6896,1.00,0.00
6915,0.00,0.00
6933,0.00,0.00
6951,0.00,0.00
6971,0.00,0.00
6989,0.00,0.00
7008,1.00,0.00
7026,1.00,0.00
7046,3.00,0.00
7064,0.00,0.00
7083,0.00,0.00
7102,0.00,0.00
7120,0.00,0.00
7139,0.00,0.00
7157,0.00,0.00
7177,1.00,0.00
7195,0.00,0.00
7214,0.00,0.00
7233,0.00,0.00
7251,0.00,0.00
7270,0.00,0.00
7288,0.00,0.00
7308,1.00,0.00
7326,1.00,0.00
7345,0.00,0.00
7364,0.00,0.00
7383,0.00,0.00
7401,0.00,0.00
7419,0.00,0.00
7439,0.00,0.00
7457,1.00,0.00
7476,0.00,0.00
7495,0.00,0.00
7514,0.00,0.00
7532,0.00,0.00
7550,0.00,0.00
7570,0.00,0.00
7588,0.00,0.00
7607,0.00,0.00
7625,1.00,0.00
7645,0.00,0.00
7663,0.00,0.00
7682,0.00,0.00
7701,0.00,0.00
7719,0.00,0.00
7738,0.00,0.00
7756,0.00,0.00
7776,0.00,0.00
7794,0.00,0.00
7813,0.00,0.00
7832,0.00,0.00
7851,0.00,0.00
7869,0.00,0.00
7887,0.00,0.00
7907,0.00,0.00
7925,0.00,0.00
7944,0.00,0.00
7963,0.00,0.00
7982,0.00,0.00
8000,0.00,0.00
8018,0.00,0.00
8038,0.00,0.00
8056,0.00,0.00
8075,0.00,0.00
8094,0.00,0.00
8113,0.00,0.00
8131,0.00,0.00
8150,0.00,0.00
8169,0.00,0.00
8187,0.00,0.00
8206,0.00,0.00
8224,0.00,0.00
8244,0.00,0.00
8262,0.00,0.00
8281,0.00,0.00
8300,0.00,0.00
8318,0.00,0.00
8337,0.00,0.00
8355,0.00,0.00
8375,0.00,0.00
8393,0.00,0.00
8412,0.00,0.00
8431,0.00,0.00
8450,0.00,0.00
8468,0.00,0.00
8486,0.00,0.00
8506,0.00,0.00
8524,1.00,0.00
8543,1.00,0.00
8562,0.00,0.00
8581,0.00,0.00
8599,0.00,0.00
8617,0.00,0.00
8637,0.00,0.00
8655,0.00,0.00
8674,1.00,0.00
8693,0.00,0.00
8712,0.00,0.00
8730,0.00,0.00
8749,0.00,0.00
8768,0.00,0.00
8786,0.00,0.00
8805,0.00,0.00
8823,0.00,0.00
8843,1.00,0.00
8861,1.00,0.00
8880,0.00,0.00
8899,0.00,0.00
8918,0.00,0.00
8936,0.00,0.00
8954,0.00,0.00
8974,0.00,0.00
8992,0.00,0.00
9011,0.00,0.00
9030,0.00,0.00
9049,0.00,0.00
9067,0.00,0.00
9085,0.00,0.00
9105,0.00,0.00
9123,0.00,0.00
9142,0.00,0.00
9161,1.00,0.00
9180,0.00,0.00
9198,0.00,0.00
9217,0.00,0.00
9236,0.00,0.00
9254,0.00,0.00
9273,1.00,0.00
9292,1.00,0.00
9311,1.00,0.00
9329,0.00,0.00
9348,0.00,0.00
9367,0.00,0.00
9385,0.00,0.00
9404,0.00,0.00
9422,1.00,0.00
9442,1.00,0.00
9460,2.00,0.00
9479,0.00,0.00
9498,0.00,0.00
9517,0.00,0.00
9535,0.00,0.00
9553,0.00,0.00
9573,2.00,0.00
9591,2.00,0.00
9610,0.00,0.00
9629,1.00,0.00
9648,0.00,0.00
9666,0.00,0.00
9684,0.00,0.00
9704,0.00,0.00
9722,0.00,0.00
9741,1.00,0.00
9760,1.00,0.00
9779,0.00,0.00
9797,0.00,0.00
9816,0.00,0.00
9835,0.00,0.00
9853,0.00,0.00
9872,1.00,0.00
9891,1.00,0.00
9910,2.00,0.00
9928,0.00,0.00
9947,0.00,0.00
9966,0.00,0.00
9985,0.00,0.00
10003,1.00,0.00
10023,0.00,0.00
10043,1.00,0.00
10062,0.00,0.00
10082,0.00,0.00
10102,0.00,0.00
10122,0.00,0.00
10141,1.00,0.00
10162,1.00,0.00
10181,0.00,0.00
10201,0.00,0.00
10220,1.00,0.00
10241,2.00,0.00
10260,2.00,0.00
10279,0.00,0.00
10300,0.00,0.00
10319,0.00,0.00
10339,1.00,0.00
10359,1.00,0.00
10379,0.00,0.00
10398,0.00,0.00
10418,0.00,0.00
10438,0.00,0.00
10458,1.00,0.00
10477,1.00,0.00
10498,0.00,0.00
10517,0.00,0.00
10536,0.00,0.00
10557,2.00,0.00
10576,1.00,0.00
10596,0.00,0.00
10615,0.00,0.00
10636,0.00,0.00
10655,1.00,0.00
10675,1.00,0.00
10695,1.00,0.00
10715,0.00,0.00
10734,0.00,0.00
10754,1.00,0.00
10774,1.00,0.00
10793,2.00,0.00
10813,0.00,0.00
10833,0.00,0.00
10853,0.00,0.00
10872,1.00,0.00
10893,2.00,0.00
10912,0.00,0.00
10932,1.00,0.00
10951,0.00,0.00
10972,1.00,0.00
10991,2.00,0.00
11011,1.00,0.00
11031,0.00,0.00
11051,885.00,1.00
11072,821.00,1.00
11095,0.00,1.00
11114,0.00,1.00
11133,0.00,1.00
11153,0.00,1.00
11173,3.00,1.00
11193,1.00,1.00
11212,0.00,1.00
11233,0.00,1.00
11252,0.00,1.00
11272,1.00,1.00
11292,1.00,1.00
11312,882.00,2.00
11333,40.00,2.00
11355,827.00,3.00
11376,2.00,3.00
11396,0.00,3.00
11415,0.00,3.00
11436,0.00,3.00
11455,1.00,3.00
11474,1.00,3.00
11495,1.00,3.00
11514,0.00,3.00
11534,0.00,3.00
11554,0.00,3.00
11574,0.00,3.00
11593,1.00,3.00
11613,0.00,3.00
11633,0.00,3.00
11653,0.00,3.00
11672,1.00,3.00
11693,1.00,3.00
11712,0.00,3.00
11731,0.00,3.00
11751,0.00,3.00
11771,1.00,3.00
11791,1.00,3.00
11810,1.00,3.00
