time,value
22,39
5693,4
5703,1
5714,3
5725,4
5736,0
5747,4
5757,5
5769,0
5780,3
5790,3
5801,0
5812,3
5823,3
5834,1
5844,3
5856,2
5867,1
5877,4
5889,1
5899,1
5910,2
5921,0
5932,2
5943,5
5954,0
5964,0
5976,4
5986,0
5997,3
6008,3
6019,0
6030,3
6041,4
6051,0
6063,2
6073,2
6084,0
6095,4
6106,1
6117,0
6128,3
6138,1
6150,1
6160,3
6171,1
6182,1
6193,4
6204,0
6215,1
6225,5
6237,0
6247,2
6258,4
6269,0
6280,3
6291,3
6302,0
6312,4
6324,3
6335,0
6345,3
6356,1
6367,1
6378,4
6392,5
6404,0
6414,3
6425,4
6435,0
6447,2
6458,3
6468,0
6479,3
6491,3
6501,0
6512,4
6522,3
6534,1
6545,3
6555,1
6566,2
6578,3
6588,1
6599,2
6609,5
6621,0
6632,1
6642,4
6653,0
6665,3
6675,4
6686,0
6696,3
6708,3
6719,0
6729,3
6740,3
6752,3
6762,3
6773,1
6784,0
6795,5
6806,2
6816,2
6828,5
6839,2
6849,1
6860,3
6871,1
6882,2
6893,3
6903,0
6915,3
6926,4
6936,0
6947,2
6958,4
6969,0
6980,3
6990,4
7002,0
7013,2
7023,4
7034,0
7045,4
7056,3
7067,0
7077,3
7092,3
7103,0
7113,3
7124,3
7135,0
7146,3
7157,2
7168,0
7179,4
7190,3
7200,0
7212,3
7222,2
7233,1
7244,4
7255,1
7266,2
7277,3
7287,1
7299,1
7309,5
7320,0
7331,2
7342,3
7353,0
7364,3
7374,4
7386,0
7396,3
7407,3
7418,0
7429,3
7440,2
7451,0
7461,4
7473,2
7483,0
7494,6
7505,1
7516,2
7527,5
7538,1
7548,2
7560,4
7570,2
7581,1
7592,4
7603,0
7614,2
7625,3
7635,0
7647,2
7657,3
7668,0
7680,3
7690,3
7701,0
7712,3
7723,3
7734,1
7744,3
7755,3
7767,1
7777,3
7791,3
7802,1
7813,2
7824,3
7834,1
7845,2
7857,3
7867,1
7878,3
7889,3
7900,1
7911,4
7921,2
7932,1
7944,3
