time,value,rainfall
22,43.00,0.00
5721,9.00,0.00
5728,6.00,0.00
5735,10.00,0.00
5742,7.00,0.00
5749,9.00,0.00
5765,9.00,0.00
5783,9.00,0.00
5801,9.00,0.00
5821,10.00,0.00
5840,7.00,0.00
5859,7.00,0.00
5878,6.00,0.00
5897,8.00,0.00
5915,9.00,0.00
5934,10.00,0.00
5954,10.00,0.00
5974,6.00,0.00
5992,7.00,0.00
6011,6.00,0.00
6030,8.00,0.00
6048,9.00,0.00
6067,9.00,0.00
6086,9.00,0.00
6105,8.00,0.00
6123,8.00,0.00
6141,7.00,0.00
6161,5.00,0.00
6179,8.00,0.00
6198,9.00,0.00
6217,8.00,0.00
6236,9.00,0.00
6254,9.00,0.00
6273,9.00,0.00
6292,7.00,0.00
6310,7.00,0.00
6329,8.00,0.00
6348,10.00,0.00
6368,10.00,0.00
6387,7.00,0.00
6406,8.00,0.00
6425,7.00,0.00
6444,6.00,0.00
6462,7.00,0.00
6481,8.00,0.00
6500,9.00,0.00
6518,8.00,0.00
6537,9.00,0.00
6556,7.00,0.00
6575,7.00,0.00
6593,6.00,0.00
6612,7.00,0.00
6631,9.00,0.00
6649,8.00,0.00
6668,9.00,0.00
6687,9.00,0.00
6706,8.00,0.00
6724,8.00,0.00
6744,7.00,0.00
6762,6.00,0.00
6780,8.00,0.00
6799,9.00,0.00
6818,10.00,0.00
6838,8.00,0.00
6856,8.00,0.00
6875,7.00,0.00
6894,7.00,0.00
6913,7.00,0.00
6931,9.00,0.00
6950,9.00,0.00
6969,10.00,0.00
6988,6.00,0.00
7007,8.00,0.00
7026,13.00,0.00
7046,7.00,0.00
7064,8.00,0.00
7084,2.00,0.00
7102,3.00,0.00
7120,2.00,0.00
7139,1.00,0.00
7158,0.00,0.00
7177,0.00,0.00
7195,0.00,0.00
7215,1.00,0.00
7233,2.00,0.00
7251,2.00,0.00
7270,1.00,0.00
7289,2.00,0.00
7308,1.00,0.00
7326,0.00,0.00
7346,0.00,0.00
7364,1.00,0.00
7383,4.00,0.00
7401,3.00,0.00
7420,2.00,0.00
7439,0.00,0.00
7457,1.00,0.00
7477,0.00,0.00
7495,1.00,0.00
7514,2.00,0.00
7532,2.00,0.00
7552,2.00,0.00
7570,2.00,0.00
7588,1.00,0.00
7607,0.00,0.00
7626,0.00,0.00
7645,0.00,0.00
7663,2.00,0.00
7683,3.00,0.00
7701,3.00,0.00
7719,2.00,0.00
7738,1.00,0.00
7757,1.00,0.00
7776,0.00,0.00
7794,0.00,0.00
7814,2.00,0.00
7832,2.00,0.00
7851,3.00,0.00
7869,2.00,0.00
7888,2.00,0.00
7907,1.00,0.00
7925,1.00,0.00
7945,0.00,0.00
7963,0.00,0.00
7982,4.00,0.00
8000,3.00,0.00
8019,3.00,0.00
8038,0.00,0.00
8056,0.00,0.00
8076,0.00,0.00
8094,0.00,0.00
8113,2.00,0.00
8131,1.00,0.00
8151,2.00,0.00
8169,4.00,0.00
8187,2.00,0.00
8206,1.00,0.00
8225,0.00,0.00
8244,0.00,0.00
8262,0.00,0.00
8282,3.00,0.00
8300,2.00,0.00
8318,2.00,0.00
8337,1.00,0.00
8356,0.00,0.00
8375,0.00,0.00
8393,1.00,0.00
8413,1.00,0.00
8431,2.00,0.00
8450,3.00,0.00
8468,1.00,0.00
8487,2.00,0.00
8506,1.00,0.00
8524,0.00,0.00
8544,0.00,0.00
8562,0.00,0.00
8581,1.00,0.00
8599,2.00,0.00
8619,3.00,0.00
8637,1.00,0.00
8655,0.00,0.00
8675,1.00,0.00
8693,0.00,0.00
8712,1.00,0.00
8730,2.00,0.00
8750,2.00,0.00
8768,3.00,0.00
8786,2.00,0.00
8805,1.00,0.00
8824,0.00,0.00
8843,0.00,0.00
8861,0.00,0.00
8881,2.00,0.00
8899,2.00,0.00
8918,3.00,0.00
8936,2.00,0.00
8955,1.00,0.00
8974,0.00,0.00
8992,0.00,0.00
9012,2.00,0.00
9030,2.00,0.00
9049,3.00,0.00
9067,2.00,0.00
9086,2.00,0.00
9105,2.00,0.00
9123,0.00,0.00
9143,0.00,0.00
9161,1.00,0.00
9180,3.00,0.00
9198,1.00,0.00
9218,3.00,0.00
9236,2.00,0.00
9254,2.00,0.00
9274,1.00,0.00
9292,0.00,0.00
9311,0.00,0.00
9329,1.00,0.00
9349,3.00,0.00
9367,3.00,0.00
9385,2.00,0.00
9404,1.00,0.00
9423,0.00,0.00
9442,1.00,0.00
9460,0.00,0.00
9480,2.00,0.00
9498,2.00,0.00
9517,2.00,0.00
9535,3.00,0.00
9554,1.00,0.00
9573,2.00,0.00
9591,0.00,0.00
9611,0.00,0.00
9629,1.00,0.00
9648,1.00,0.00
9666,2.00,0.00
9686,2.00,0.00
9704,2.00,0.00
9722,1.00,0.00
9742,0.00,0.00
9760,0.00,0.00
9779,1.00,0.00
9797,2.00,0.00
9817,3.00,0.00
9835,3.00,0.00
9853,0.00,0.00
9873,1.00,0.00
9891,0.00,0.00
9910,0.00,0.00
9928,2.00,0.00
9948,2.00,0.00
9966,2.00,0.00
9985,2.00,0.00
10003,2.00,0.00
10023,0.00,0.00
10043,0.00,0.00
10062,3.00,0.00
10083,2.00,0.00
10102,1.00,0.00
10122,1.00,0.00
10142,0.00,0.00
10162,1.00,0.00
10181,1.00,0.00
10201,3.00,0.00
10221,0.00,0.00
10241,0.00,0.00
10260,0.00,0.00
10280,2.00,0.00
10300,3.00,0.00
10319,1.00,0.00
10340,0.00,0.00
10359,0.00,0.00
10379,2.00,0.00
10398,2.00,0.00
10419,2.00,0.00
10438,1.00,0.00
10458,0.00,0.00
10478,1.00,0.00
10498,1.00,0.00
10517,4.00,0.00
10537,2.00,0.00
10557,0.00,0.00
10576,0.00,0.00
10596,1.00,0.00
10616,2.00,0.00
10636,4.00,0.00
10655,0.00,0.00
10676,0.00,0.00
10695,1.00,0.00
10715,2.00,0.00
10734,2.00,0.00
10755,0.00,0.00
10774,0.00,0.00
10793,0.00,0.00
10814,2.00,0.00
10833,2.00,0.00
10853,1.00,0.00
10873,0.00,0.00
10893,1.00,0.00
10912,3.00,0.00
10932,3.00,0.00
10952,2.00,0.00
10972,0.00,0.00
10991,0.00,0.00
11012,1.00,0.00
11031,3.00,0.00
11051,3.00,0.00
11071,0.00,0.00
11090,0.00,0.00
11110,1.00,0.00
11129,27.00,0.00
11151,25.00,0.00
11171,27.00,0.00
11192,28.00,0.00
11213,31.00,0.00
11234,32.00,0.00
11254,31.00,0.00
11276,31.00,0.00
11296,32.00,0.00
11317,33.00,0.00
11338,33.00,0.00
11359,31.00,0.00
11379,34.00,0.00
11400,33.00,0.00
11421,33.00,0.00
11442,31.00,0.00
11462,33.00,0.00
11484,34.00,0.00
11504,33.00,0.00
11525,31.00,0.00
