WU time,WU accumulation,,WU rate in ,RG time ,#of drops,inches of rain
6:29 PM,0,0.74,0,18:22:19,1,0.000551
6:34 PM,0.01,0.75,0.07,18:23:58,2,0.001102
6:39 PM,0.01,0.75,0.07,18:23:58,3,0.001653
6:44 PM,0.01,0.75,0.07,18:23:59,4,0.002204
6:49 PM,0.02,0.76,0.05,18:25:53,5,0.002755
6:54 PM,0.02,0.76,0.05,18:25:53,6,0.003306
6:59 PM,0.02,0.76,0.05,18:26:59,7,0.003857
7:04 PM,0.03,0.77,0.07,18:27:00,8,0.004408
7:09 PM,0.03,0.77,0.07,18:27:00,9,0.004959
7:14 PM,0.05,0.79,0.12,18:29:55,10,0.00551
7:19 PM,0.07,0.81,0.24,18:29:55,11,0.006061
7:24 PM,0.08,0.82,0.24,18:31:19,12,0.006612
7:29 PM,0.09,0.83,0.19,18:31:20,13,0.007163
7:34 PM,0.09,0.83,0.12,18:32:23,14,0.007714
7:39 PM,0.09,0.83,0.05,18:32:23,15,0.008265
7:44 PM,0.09,0.83,0,18:33:50,16,0.008816
7:49 PM,0.1,0.84,0.07,18:33:50,17,0.009367
7:54 PM,0.1,0.84,0.07,18:35:40,18,0.009918
7:59 PM,0.1,0.84,0.07,18:35:40,19,0.010469
8:04 PM,0.1,0.84,0,18:36:34,20,0.01102
8:09 PM,0.1,0.84,0,18:36:34,21,0.011571
8:14 PM,0.1,0.84,0,18:38:09,22,0.012122
8:19 PM,0.1,0.84,0,18:38:09,23,0.012673
8:24 PM,0.1,0.84,0,18:39:56,24,0.013224
8:29 PM,0.1,0.84,0,18:39:56,25,0.013775
8:34 PM,0.1,0.84,0,18:41:49,26,0.014326
8:39 PM,0.1,0.84,0,18:41:49,27,0.014877
8:44 PM,0.1,0.84,0,18:43:21,28,0.015428
8:49 PM,0.1,0.84,0,18:43:21,29,0.015979
8:54 PM,0.1,0.84,0,18:46:08,30,0.01653
8:59 PM,0.1,0.84,0,18:46:08,31,0.017081
9:04 PM,0.1,0.84,0,18:48:10,32,0.017632
9:09 PM,0.1,0.84,0,18:48:10,33,0.018183
9:14 PM,0.1,0.84,0,18:49:47,34,0.018734
9:19 PM,0.1,0.84,0,18:49:47,35,0.019285
9:24 PM,0.1,0.84,0,18:52:12,36,0.019836
9:29 PM,0.1,0.84,0,18:52:12,37,0.020387
9:34 PM,0.1,0.84,0,18:53:07,38,0.020938
9:39 PM,0.1,0.84,0,18:53:53,39,0.021489
9:44 PM,0.1,0.84,0,18:53:53,40,0.02204
9:49 PM,0.1,0.84,0,18:54:32,41,0.022591
9:54 PM,0.1,0.84,0,18:54:32,42,0.023142
9:59 PM,0.1,0.84,0,18:56:49,43,0.023693
10:04 PM,0.1,0.84,0,18:56:49,44,0.024244
10:09 PM,0.1,0.84,0,18:57:32,45,0.024795
10:14 PM,0.1,0.84,0,18:57:32,46,0.025346
